strategy,symbol,sharpe_ratio,drawdown,exposure,total_return,winrate,expectancy
SmaCrossoverStrategy,ETHBTC,-50.68710327190645,-0.8053086654087771,48.79960317460317,-80.41298583377224,0.13527180783817952,-10.165990623738587
SmaCrossoverStrategy,SOLBTC,-41.65039789804201,-0.8413816428026947,47.425595238095234,-83.65077843852053,0.18490566037735848,-10.522110495411397
SmaCrossoverStrategy,BNBBTC,-46.515218029290956,-0.7708531134016416,49.223710317460316,-77.04305445840146,0.17774936061381075,-9.852052999795607
SmaCrossoverStrategy,WBTCBTC,-152.64592723283099,-0.8296414360433062,50.61259920634921,-82.96414360433045,0.0,-9.624610626952489
SmaCrossoverStrategy,DOGEBTC,-45.25630734166697,-0.9706306777035806,48.745039682539684,-97.06306777035806,0.12309368191721133,-10.573318929232899
SmaCrossoverStrategy,XRPBTC,-31.200368543938897,-0.8030095059113292,49.057539682539684,-80.24757366842421,0.1919191919191919,-10.132269402578824
SmaCrossoverStrategy,SUIBTC,-23.284415542684435,-0.7859468185897113,47.782738095238095,-78.49549163526424,0.23741935483870968,-10.128450533582479
SmaCrossoverStrategy,LTCBTC,-26.474264827755867,-0.8201542477327571,49.29315476190476,-81.92627351787407,0.2282208588957055,-10.05230349912566
SmaCrossoverStrategy,TRXBTC,-55.722688458258055,-0.9934643230672625,51.99652777777778,-99.33992930783006,0.08340425531914894,-8.454462068751498
SmaCrossoverStrategy,ADABTC,-31.274570267361035,-0.8381205822414743,48.53670634920635,-83.6388656433666,0.20073891625615764,-10.30035291174466
SmaCrossoverStrategy,MKRBTC,-16.226259750316785,-0.6804854903142371,50.319940476190474,-66.62457049787855,0.2242503259452412,-8.686384680297067
SmaCrossoverStrategy,LINKBTC,-39.86419257838026,-0.8567794082930357,47.36855158730159,-85.65946162038992,0.20256410256410257,-10.981982259024347
SmaCrossoverStrategy,AVAXBTC,-39.77738816481653,-0.8170907024728358,48.71279761904762,-81.52804087021076,0.1987179487179487,-10.452312932078309
SmaCrossoverStrategy,HBARBTC,-36.470974966842675,-0.9747596801169652,47.93154761904762,-97.45310011599477,0.14693446088794926,-10.301596206764772
SmaCrossoverStrategy,DOTBTC,-35.526018419040064,-0.8446816862725549,48.63095238095238,-84.32143765318212,0.1926489226869455,-10.687127712697347
SmaCrossoverStrategy,STXBTC,-36.225369505927766,-0.8346032395373447,47.45039682539682,-83.3748523356812,0.2107904642409034,-10.461085613008937
SmaCrossoverStrategy,BCHBTC,-45.67596649333575,-0.7982989271926988,49.7594246031746,-79.29166865807062,0.17462311557788945,-9.961264906792803
SmaCrossoverStrategy,AAVEBTC,-34.66094975910745,-0.8474763042242714,46.9593253968254,-84.68885086210732,0.20254777070063695,-10.788388644854468
SmaCrossoverStrategy,ARBBTC,-37.89579133320845,-0.8583310270348674,49.104662698412696,-85.79043132608753,0.2181122448979592,-10.942657056898915
SmaCrossoverStrategy,ENABTC,-24.102763679745657,-0.89002982382465,46.16815476190476,-88.71904139160931,0.22715736040609136,-11.258761597919944
SmaCrossoverStrategy,CAKEBTC,-10.858823859950574,-0.7238838538891508,47.16765873015873,-70.66331083959297,0.21804511278195488,-8.855051483658269
SmaCrossoverStrategy,CRVBTC,-31.05622759748228,-0.8658496075216611,47.53968253968254,-86.4746005648798,0.1956241956241956,-11.129292221992259
SmaCrossoverStrategy,NEARBTC,-36.147334590309804,-0.8401762024443518,48.41517857142857,-83.98441600516165,0.2079589216944801,-10.781054686156804
SmaCrossoverStrategy,PAXGBTC,-44.966079897157364,-0.8324002612297918,51.83531746031746,-83.24002612297909,0.14599483204134367,-10.754525338886179
SmaCrossoverStrategy,SBTC,-10.82462593277119,-0.5959710648993015,47.94890873015873,-59.19715050113719,0.3080568720379147,-9.351840521506674
SmaCrossoverStrategy,WLDBTC,-29.544196371374454,-0.856493887829308,48.47470238095239,-85.61718210959621,0.22403003754693368,-10.715542191438821
